unique ID,Primary archt/firm,Primary archt/firm[1][Name],Primary archt/firm[1][Role],Primary archt/firm[1][Type],Primary archt/firm[2][Name],Primary archt/firm[2][Role],Primary archt/firm[2][Type],Primary archt/firm[3][Name],Primary archt/firm[3][Role],Primary archt/firm[3][Type],Primary archt/firm[4][Name],Primary archt/firm[4][Role],Primary archt/firm[4][Type],Primary archt/firm[5][Name],Primary archt/firm[5][Role],Primary archt/firm[5][Type],Primary archt/firm_flag
13974,Lawrence W. Speck Associates,Lawrence W. Speck Associates,contributor,corporate,,,,,,,,,,,,,0
13975,Lawrence W. Speck Associates,Lawrence W. Speck Associates,contributor,corporate,,,,,,,,,,,,,0
13976,Lawrence W. Speck Associates,Lawrence W. Speck Associates,contributor,corporate,,,,,,,,,,,,,0
13977,Lawrence W. Speck Associates,Lawrence W. Speck Associates,contributor,corporate,,,,,,,,,,,,,0
13978,Lawrence W. Speck Associates,Lawrence W. Speck Associates,contributor,corporate,,,,,,,,,,,,,0
13979,Lawrence W. Speck Associates,Lawrence W. Speck Associates,contributor,corporate,,,,,,,,,,,,,0
13980,Lawrence W. Speck Associates,Lawrence W. Speck Associates,contributor,corporate,,,,,,,,,,,,,0
13981,Lawrence W. Speck Associates,Lawrence W. Speck Associates,contributor,corporate,,,,,,,,,,,,,0
13982,Lawrence W. Speck Associates,Lawrence W. Speck Associates,contributor,corporate,,,,,,,,,,,,,0
13983,Lawrence W. Speck Associates,Lawrence W. Speck Associates,contributor,corporate,,,,,,,,,,,,,0
13984,Lawrence W. Speck Associates,Lawrence W. Speck Associates,contributor,corporate,,,,,,,,,,,,,0
13985,Lawrence W. Speck Associates,Lawrence W. Speck Associates,contributor,corporate,,,,,,,,,,,,,0
13986,Lawrence W. Speck Associates,Lawrence W. Speck Associates,contributor,corporate,,,,,,,,,,,,,0
13987,Lawrence W. Speck Associates,Lawrence W. Speck Associates,contributor,corporate,,,,,,,,,,,,,0
13988,Lawrence W. Speck Associates,Lawrence W. Speck Associates,contributor,corporate,,,,,,,,,,,,,0
13989,Huygens & Tappe Inc. | architects & planners,Huygens & Tappe Inc.,architects & planners,corporate,,,,,,,,,,,,,0
13990,Lawrence W. Speck Associates,Lawrence W. Speck Associates,contributor,corporate,,,,,,,,,,,,,0
13991,Lawrence W. Speck Associates,Lawrence W. Speck Associates,contributor,corporate,,,,,,,,,,,,,0
