unique ID,coll code,Collection,Set type
9404,AA,"Ayres & Ayres, Architects records",
9405,AA,"Ayres & Ayres, Architects records",
9406,AA,"Ayres & Ayres, Architects records",
9407,AA,"Ayres & Ayres, Architects records",
9408,AA,"Ayres & Ayres, Architects records",
9409,AA,"Ayres & Ayres, Architects records",
9410,AA,"Ayres & Ayres, Architects records",
9411,AA,"Ayres & Ayres, Architects records",
9412,AA,"Ayres & Ayres, Architects records",
9413,AA,"Ayres & Ayres, Architects records",
9414,AA,"Ayres & Ayres, Architects records",
9415,AA,"Ayres & Ayres, Architects records",
9416,AA,"Ayres & Ayres, Architects records",
9417,AA,"Ayres & Ayres, Architects records",
9418,AA,"Ayres & Ayres, Architects records",
9419,AA,"Ayres & Ayres, Architects records",
9420,AA,"Ayres & Ayres, Architects records",
9421,AA,"Ayres & Ayres, Architects records",
9422,AA,"Ayres & Ayres, Architects records",architectural/measured
9423,AA,"Ayres & Ayres, Architects records",
9424,AA,"Ayres & Ayres, Architects records",
9425,AA,"Ayres & Ayres, Architects records",
9426,AA,"Ayres & Ayres, Architects records",
9427,AA,"Ayres & Ayres, Architects records",
9428,AA,"Ayres & Ayres, Architects records",
9429,AA,"Ayres & Ayres, Architects records",
9430,AA,"Ayres & Ayres, Architects records",
9431,AA,"Ayres & Ayres, Architects records",
9432,AA,"Ayres & Ayres, Architects records",
9433,AA,"Ayres & Ayres, Architects records",
9434,AA,"Ayres & Ayres, Architects records",
9435,AA,"Ayres & Ayres, Architects records",
9436,AA,"Ayres & Ayres, Architects records",
9437,AA,"Ayres & Ayres, Architects records",
9438,AA,"Ayres & Ayres, Architects records",
9439,AA,"Ayres & Ayres, Architects records",
9440,AA,"Ayres & Ayres, Architects records",
9441,AA,"Ayres & Ayres, Architects records",
9442,AA,"Ayres & Ayres, Architects records",
9443,AA,"Ayres & Ayres, Architects records",
9444,AA,"Ayres & Ayres, Architects records",
